ball_speed_mph,spin_rate_rpm,carry_yards,max_height_yards,flight_time_s,land_angle_deg
160,4300,290.946620926501,56.74542971960538,8.82300000000055,57.331454799658296
160,4400,291.32846096590526,57.83375317350001,8.883000000000516,57.83205757194389
160,4500,291.61468062533413,58.830662775802246,8.937000000000486,58.28899454968477
160,4600,291.8095732925394,59.733815642800145,8.98500000000046,58.70347875264437
160,4700,291.9024165350876,60.5412914931923,9.026000000000437,59.06955286611239
160,4800,291.9261801473126,61.251596018252265,9.062000000000417,59.40237404615093
160,4900,291.8548479869862,61.8636612676182,9.0910000000004,59.688735167527994
160,5000,291.72010684849675,62.37684268212514,9.115000000000387,59.94322513118995
170,1000,192.35838619599969,13.333122386028792,3.7539999999996976,21.193604938005667
170,1100,197.5338988393845,13.970719898666548,3.91199999999968,21.88470648864456
170,1200,202.8545539174063,14.657966200977397,4.078999999999697,22.639635499559972
170,1300,208.30261162501188,15.399278200180063,4.254999999999756,23.45863320290268
170,1400,213.86076245918514,16.199395971025112,4.439999999999817,24.342151443519306
170,1500,219.5121798015621,17.06338012955036,4.633999999999882,25.290763970252364
170,1600,225.24055676383725,17.996605585885277,4.83699999999995,26.305063930431658
170,1700,231.05790923350665,19.00474676468984,5.050000000000021,27.39725540173357
170,1800,236.94636703094386,20.0937581526633,5.273000000000096,28.567368229332214
170,1900,242.88865994654307,21.269843832826762,5.506000000000173,29.81498419937356
170,2000,248.84298528724707,22.539432678949485,5.748000000000254,31.12764629246121
170,2100,254.82012506838026,23.909134136896533,6.000000000000338,32.522704901034814
170,2200,260.5667414280373,25.385709496148262,6.2520000000004226,34.30514827885919
170,2300,265.8115758130362,26.976025396168374,6.492000000000503,36.220924071146904
170,2400,270.58493573625094,28.687024704686582,6.720000000000579,38.13529982752985
170,2500,274.93678379297995,30.52567327029571,6.937000000000651,40.004099283066914
170,2600,278.8918472550067,32.48497976857247,7.14300000000072,41.79620882809784
170,2700,282.49325459594223,34.52609709348681,7.339000000000786,43.50391536601202
170,2800,285.7607694776085,36.617519577159555,7.525000000000848,45.11614596553053
170,2900,288.7510857928529,38.736748699728466,7.703000000000907,46.646934164338944
170,3000,291.46005066369105,40.866703954489665,7.872000000000964,48.08270156962614
170,3100,293.9209150231067,42.99376888298661,8.033000000000987,49.43220993431003
170,3200,296.164381493012,45.10665775888579,8.187000000000902,50.70478633243721
170,3300,298.18420322969456,47.19571801993527,8.33300000000082,51.89240022954208
170,3400,299.99213587291797,49.2524857780558,8.471000000000744,52.997439259274756
170,3500,301.6325513097842,51.269390784481224,8.603000000000671,54.03918526746743
170,3600,303.0977402101801,53.239562979643765,8.728000000000602,55.01140055588758
170,3700,304.4128388554985,55.15669710668582,8.847000000000536,55.924488511488754
170,3800,305.5544326229156,57.014967623866724,8.958000000000474,56.765560901164804
170,3900,306.57781598932047,58.808970493153886,9.064000000000416,57.559922634666016
170,4000,307.45913292707985,60.533681309015506,9.16300000000036,58.2949027855511
170,4100,308.2207979170168,62.1844413559779,9.25600000000031,58.98008669180033
170,4200,308.8692624885459,63.75693793948897,9.343000000000261,59.61748734068432
170,4300,309.3962955699972,65.24720812690627,9.423000000000217,60.20239814210994
170,4400,309.8365808285963,66.65163893382476,9.498000000000175,60.750018821820795
170,4500,310.1670355355359,67.96697109527871,9.566000000000138,61.24889983405592
170,4600,310.42079596340204,69.19031137692386,9.629000000000103,61.71344633673118
170,4700,310.5748632105336,70.31913662454612,9.685000000000072,62.132456076137025
170,4800,310.6609153503211,71.35130471949326,9.736000000000043,62.51961615343385
170,4900,310.65590967580505,72.28505614102421,9.780000000000019,62.8638762010802
170,5000,310.590156856195,73.11902670655688,9.818999999999997,63.178289897582474
